normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
Nmax : 163maj : 0.4876383477261362diff : 0.11136829394265185submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 164maj : 0.48761335046257487diff : 0.11134329667909054submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 165maj : 0.4862087719596416diff : 0.10993871817615725submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 166maj : 0.48620153719669446diff : 0.10993148341321013submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 167maj : 0.48603743734628624diff : 0.10976738356280191submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 168maj : 0.485873337495878diff : 0.1096032837123937submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 169maj : 0.4848041934567084diff : 0.10853413967322406submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 170maj : 0.4837954218494846diff : 0.10752536806600027submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 171maj : 0.4836313219990763diff : 0.107361268215592submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 172maj : 0.483467222148668diff : 0.10719716836518367submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 173maj : 0.48315431673253284diff : 0.10688426294904851submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 174maj : 0.4828261170317163diff : 0.10655606324823197submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 175maj : 0.4822536161194459diff : 0.10598356233596157submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 176maj : 0.4813893065022747diff : 0.10511925271879036submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 177maj : 0.4812252066518664diff : 0.10495515286838208submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 178maj : 0.48106110680145814diff : 0.10479105301797381submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
